res: ResultSet({'('mem_use', None)': [{'time': '1970-01-01T00:00:00Z', 'sum': 1675}]})
res: 1675
item: {'time': '2022-12-12T01:17:06.890650Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:06.960273Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:07.019386Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:07.062994Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:07.111724Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:07.191745Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:07.259975Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:07.335609Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:07.411653Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:07.456160Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:07.505226Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:07.547442Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:07.589734Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:07.636840Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:07.706409Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:07.779991Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:07.860440Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:07.931569Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:07.996908Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:08.060613Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:08.112159Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:08.182537Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:08.228632Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:08.278525Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:08.352314Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:08.421180Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:08.471474Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:08.546108Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:08.612905Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:08.668555Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:08.716021Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:08.764465Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:08.820158Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:08.896808Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:08.965168Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:09.017127Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:09.062648Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:09.132963Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:09.196648Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:09.266971Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
item: {'time': '2022-12-12T01:17:09.323850Z', '_001294__lib_systemd_systemd-journald': None, '_002341_dockerd': 104.602, 'tag': '_monitor'}
