machine,kernel,metric,no_metric,frequency,error
deren_run,triad,ai,8,32,0.06268397036416228,1
deren_run,triad,ai_err,8,32,-0.937047890967228,1
deren_run,sum,fp_arith_scalar_double_err,8,1,-0.00017376979391596015,1
deren_run,sum,unhalted_reference_cycles_err,8,1,-0.026163303090268607,1
deren_run,sum,instruction_retired_err,8,1,0.0025820825153995597,1
deren_run,sum,uops_retired_any_err,8,1,0.004039323842448355,1
deren_run,sum,l1_bw,8,1,0.00440231920760196,1
deren_run,sum,ai,8,1,0.1244311323199873,1
deren_run,sum,ai_err,8,1,-0.8757758879985196,1
deren_run,sum,fp_arith_scalar_double_err,8,2,-0.01005651166956099,1
deren_run,sum,unhalted_reference_cycles_err,8,2,-0.036496688872329854,1
deren_run,sum,instruction_retired_err,8,2,-0.007241821230002957,1
deren_run,sum,uops_retired_any_err,8,2,-0.0072047883585413,1
deren_run,sum,l1_bw,8,2,-0.007559548596525133,1
deren_run,sum,ai,8,2,0.12468556342042617,1
deren_run,sum,ai_err,8,2,-0.8752644901577621,1
deren_run,sum,fp_arith_scalar_double_err,8,4,-0.003389931008202832,1
deren_run,sum,unhalted_reference_cycles_err,8,4,-0.0288793724433012,1
deren_run,sum,instruction_retired_err,8,4,-0.0006231538535061718,1
deren_run,sum,uops_retired_any_err,8,4,-0.0016973255647595238,1
deren_run,sum,l1_bw,8,4,-0.0022808901819842786,1
deren_run,sum,ai,8,4,0.12486102443177315,1
deren_run,sum,ai_err,8,4,-0.8751530390144857,1
deren_run,sum,fp_arith_scalar_double_err,8,8,0.0005627693351247364,1
deren_run,sum,unhalted_reference_cycles_err,8,8,-0.024545397806415865,1
deren_run,sum,instruction_retired_err,8,8,0.004049111787435221,1
deren_run,sum,uops_retired_any_err,8,8,0.004445647530141916,1
deren_run,sum,l1_bw,8,8,0.003901315588126445,1
deren_run,sum,ai,8,8,0.1245846619227193,1
deren_run,sum,ai_err,8,8,-0.8753941453726386,1
deren_run,sum,fp_arith_scalar_double_err,8,16,-0.005536772924297321,1
deren_run,sum,unhalted_reference_cycles_err,8,16,0.055116181279753027,1
deren_run,sum,instruction_retired_err,8,16,0.040442059560224,1
deren_run,sum,uops_retired_any_err,8,16,0.0027507694836769597,1
deren_run,sum,l1_bw,8,16,0.0015256070541212461,1
deren_run,sum,ai,8,16,0.12412155574337864,1
deren_run,sum,ai_err,8,16,-0.8761362466795127,1
deren_run,sum,fp_arith_scalar_double_err,8,32,-0.007127896262964673,1
deren_run,sum,unhalted_reference_cycles_err,8,32,0.09808576545029696,1
deren_run,sum,instruction_retired_err,8,32,0.05873596027128952,1
deren_run,sum,uops_retired_any_err,8,32,-0.010543177136750582,1
deren_run,sum,l1_bw,8,32,-0.008001002424548426,1
deren_run,sum,ai,8,32,0.125113194008266,1
deren_run,sum,ai_err,8,32,-0.8740150238118286,1
deren_run,stream,fp_arith_scalar_double_err,8,1,-0.009202425396568058,1
deren_run,stream,unhalted_reference_cycles_err,8,1,-0.03294215948582242,1
deren_run,stream,instruction_retired_err,8,1,-0.007181505495362072,1
deren_run,stream,uops_retired_any_err,8,1,-0.006938052924902121,1
